pattern_id,pattern_type,description,severity,detection_count,last_seen,created_at,feature_vector
SIG-0031,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 31: detected in p2p channel with high confidence.,medium,4576,2026-02-26,2025-01-13,"[0.9296, 0.8661, -0.6703, 0.0174, 0.4373, 0.6629, 1.0429, -0.9202, -0.5428, 1.0473, 0.7242, -0.658, 0.9852, -0.3487, -0.6639, 0.9133, 0.2437, -0.296, -0.1961, -0.2136, 0.3109, 0.2249, -0.9684, 0.9193, -1.2565, 0.6003, -0.0194, -0.4422, -0.5701, -0.7399, -1.1052, 0.4232, 0.7625, 0.3114, -0.3439, 0.1417, 2.4417, -0.6353, 0.5447, 0.8063, -0.3026, -0.1853, -0.5782, 0.0459, 1.7006, 0.7262, 0.6245, -0.6603, -1.8382, -0.6663, -0.1056, -0.569, -0.0479, -0.2827, 1.1119, 0.1663, 0.0987, 1.0888, -1.0701, -0.6209, -2.7594, 0.5822, 1.9886, -0.3793]"
SIG-0032,bot_typing_pattern,Abnormally consistent typing cadence suggesting automated input rather than human. Variant 32: detected in p2p channel with high confidence.,medium,4305,2026-01-22,2025-05-26,"[0.4333, 0.5625, 0.0071, -1.203, -1.4233, -0.3298, -0.4923, -1.9687, -1.9261, -0.7881, 0.1068, 0.7441, 0.6796, -0.2593, 1.3794, -0.0728, 0.1386, -1.3811, 0.381, -0.9039, 0.3219, -1.4803, 0.0236, 0.6627, -0.6695, -0.3961, -0.7375, 1.2549, -1.2319, -0.7555, -1.4527, -0.768, -0.642, -0.2898, -0.0735, 0.2519, -1.4816, -0.6599, -2.174, 1.6933, 0.5307, -0.6974, -0.485, 0.0572, 0.0742, -0.1654, 0.8644, 0.1683, -1.0157, 2.4018, -1.5795, 1.4022, -0.2052, -0.8249, 1.0958, 1.8584, 1.2456, 0.1797, -0.4687, -0.7663, -0.3797, 0.9858, -0.8094, 0.2063]"
SIG-0033,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 33: detected in wire channel with medium confidence.,medium,4048,2025-12-30,2024-07-05,"[1.2199, 0.5682, 1.675, 1.3403, 1.5674, -0.7101, -0.5565, -0.9826, 1.4254, 1.8227, -1.0972, 0.7545, -0.4774, 2.3208, 0.1338, 0.8625, 0.515, 0.8622, -0.6601, -0.9974, -1.0668, 0.7082, 0.5291, 0.6222, 0.9585, -0.7849, 0.1734, 0.7791, -1.1138, -0.1204, 0.9075, -1.0546, 1.7247, -1.079, -0.0974, -0.1723, 0.4386, -0.9996, -0.1204, -1.5275, -0.7963, 1.271, 0.5768, 0.5044, 0.5639, -1.2962, 0.3609, -0.6974, 1.1606, 0.5678, 0.7511, 0.4679, 1.2881, -0.1865, -0.1098, -0.4832, -0.8372, 0.8828, 0.8388, 1.297, -0.336, 0.5872, 1.5686, 0.2984]"
SIG-0034,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 34: detected in atm channel with high confidence.,medium,2833,2026-01-23,2024-03-26,"[1.7572, -0.6993, 1.02, 1.362, 0.0093, -0.1631, 1.1215, -0.027, -0.0329, 1.0109, -0.0717, -0.2222, -0.02, 1.677, 0.4703, 0.5931, -0.2195, -2.3818, -0.323, 0.4793, -0.2672, 1.1035, -0.658, -1.0365, 0.2978, -0.6149, 0.3278, -0.3909, 0.5744, -1.0453, -0.0286, -1.4337, -0.0058, -0.4604, 1.3001, 0.3278, 0.6456, -1.5777, -0.4474, -0.5915, -0.1421, -0.2787, 0.0353, -1.4388, -0.0073, 0.0922, -0.5192, 1.1163, 0.198, 0.0807, 0.3527, 1.2171, -1.391, 0.8059, 0.3075, 0.4504, -0.7233, -0.4212, 1.0605, 1.1077, -1.0778, -1.1344, -1.0062, -0.458]"
SIG-0035,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 35: detected in wire channel with medium confidence.,high,3693,2026-01-17,2024-10-05,"[0.1077, -2.1894, 0.2942, -0.0397, 0.1567, 0.1072, -2.0331, 0.7065, -1.1536, -0.6172, -0.0414, 0.3166, -0.3027, 2.5832, 1.3273, -1.0496, -0.2997, -1.7116, 0.0064, -0.5643, -0.9011, -0.2685, 0.6037, -0.4556, 0.7308, -0.7709, -1.2737, -1.882, 1.1613, -1.1068, -1.0397, -0.4259, -0.5145, 0.7939, 0.3492, -0.7312, -0.2539, 0.5476, -0.7541, 1.0155, -0.4577, 0.4341, 0.0791, 0.8232, -0.0898, 0.1537, -0.6271, 0.3736, 0.1007, 1.4984, 0.211, 0.4475, 0.7326, -1.2415, 0.9, -0.4406, 0.1535, 1.1997, 1.0748, -1.1102, 2.5786, -0.3682, 1.3501, 1.4386]"
SIG-0036,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 36: detected in wire channel with medium confidence.,medium,1148,2026-01-26,2025-07-15,"[-0.8127, -0.438, 0.4043, -0.9548, 0.909, 0.405, 2.1419, -0.3535, -1.2964, 0.7204, 0.3577, -0.673, 0.0417, -1.8335, 1.5479, -0.1759, -0.6291, 0.008, 1.6125, -1.0196, -0.1618, 0.3074, -0.5796, 0.6746, 0.9822, 0.3383, 0.0715, 0.617, -0.0791, 1.1546, -0.587, 0.5683, -1.2337, 0.922, 2.0545, -1.8267, 1.3491, 0.4369, 0.4315, 0.9864, -1.0404, 1.4548, 0.8573, -0.5763, 1.9546, -0.7003, 0.1457, 0.7268, -0.9986, -0.1114, 1.8287, 1.2173, -0.4776, 0.4296, -1.9447, 0.3612, -0.9739, 0.9982, 1.283, 0.153, 0.074, -2.0668, 0.1603, -0.5894]"
SIG-0037,mfa_change_high_value,"MFA settings changed shortly before high-value wire transfer initiated, typical account takeover pattern. Variant 37: detected in p2p channel with high confidence.",high,4705,2026-01-17,2025-03-11,"[0.6891, 0.3273, -0.9214, -1.4643, -1.453, -0.8215, 0.5108, -0.4088, -1.0384, 1.0856, -1.476, -1.9699, 0.2129, 0.424, -1.2274, -0.6883, 1.2077, 0.3958, -0.7743, 0.8513, -0.2355, 0.0655, 1.1868, 1.0684, 1.134, 0.8534, 0.141, 1.4165, -1.9778, 2.107, -0.882, -0.3796, -0.5304, -1.5024, -0.7763, -0.2842, -0.6168, -0.0585, 0.0968, -0.303, 1.21, 1.1248, 0.4184, -0.9829, -0.7334, -1.6554, 1.5851, -1.0638, 0.7529, 0.096, 0.8527, -0.3882, 0.6452, 0.1383, -1.0272, -1.4103, 1.4672, 0.0506, 0.7436, 0.4374, -0.0266, 0.356, 0.3987, -0.1714]"
SIG-0038,bot_typing_pattern,Abnormally consistent typing cadence suggesting automated input rather than human. Variant 38: detected in p2p channel with medium confidence.,medium,907,2025-12-19,2024-03-08,"[-0.0538, 2.2671, -0.4958, 0.4003, 0.0501, 1.7762, -0.5028, -0.9768, 1.4747, -0.9281, -0.1781, 0.3482, 0.8369, -1.8312, -0.9113, -2.0378, 1.6512, -0.6441, 0.7533, -0.8035, -2.3364, -0.4009, 0.9275, 0.0113, -2.245, -0.353, -1.708, 0.4261, 0.2383, 0.4882, 0.3205, 0.8775, -0.0151, 2.3817, -1.3446, 1.4456, -1.5848, -0.0426, 0.5704, -0.618, 0.1464, -0.4672, -1.424, -1.3198, 0.9037, -0.3566, -0.9066, 1.3979, -0.6733, -1.6218, 0.7357, -0.3406, 0.0215, 0.8939, 0.3656, -0.29, -0.7909, -0.4832, -0.0083, 1.5187, 0.1838, 0.0213, -0.2984, 0.2868]"
SIG-0039,bot_typing_pattern,Abnormally consistent typing cadence suggesting automated input rather than human. Variant 39: detected in atm channel with high confidence.,medium,1543,2026-02-04,2025-07-07,"[0.6903, 0.5499, -0.3735, 0.0781, 0.2025, -0.3506, 0.8509, 0.7471, -1.6416, 1.406, 0.0927, -1.7199, -0.259, -0.705, 0.0525, 0.0094, -0.9278, 0.4399, -0.3663, 0.8472, 0.271, 0.9126, 0.6968, 0.8634, 0.048, 2.1174, -0.8874, -0.7921, 0.3886, -1.2743, -0.1623, -1.0762, 1.7304, 0.2746, -0.4167, -1.9302, 0.0094, -0.7057, 0.4589, -1.0889, -0.4738, 1.5304, 3.0371, -1.2267, -0.7447, -0.7741, -0.0148, 0.2169, 2.0048, 0.7289, 0.7284, 0.4492, 0.1607, 1.6711, 0.0643, -1.4816, 0.0795, 0.6434, 0.2799, -0.1672, -0.4505, 1.6938, -1.2815, -0.0192]"
SIG-0040,impossible_travel,User login from geographically distant locations within impossible timeframe indicating compromised credentials. Variant 40: detected in retail channel with high confidence.,critical,4488,2025-12-31,2025-09-15,"[-0.3101, -0.8947, -1.6605, 1.0369, -0.9574, -0.4332, -0.4091, -1.1498, 1.0596, -0.6409, -1.5591, -1.4133, 0.2562, 1.1068, 0.035, -0.3577, -1.0509, 0.4395, -0.1994, -0.9416, 0.4203, 0.5943, 0.0667, -0.7212, -1.2758, 0.2008, -0.322, 0.8543, -0.2125, -2.8793, -0.9678, -1.3593, -0.7277, -1.7233, -0.4539, -1.7802, -0.6583, -0.0105, 0.8512, 0.7061, 0.7041, -0.3738, -0.7531, -0.4321, 0.4846, 0.164, 1.5302, -1.1165, -1.5648, -0.5334, 1.0071, -1.6619, -0.2893, -0.1237, -1.3166, -2.3444, -0.3644, -0.0692, -1.7762, 0.4268, -0.2428, -1.4263, 1.1245, -0.6694]"
SIG-0041,bot_typing_pattern,Abnormally consistent typing cadence suggesting automated input rather than human. Variant 41: detected in p2p channel with medium confidence.,critical,952,2025-12-13,2025-08-08,"[0.81, 1.5932, -0.7742, -1.2885, 0.2775, -1.4274, -1.2016, -0.0747, 0.0775, -0.7747, 1.312, 0.166, -1.5787, 0.4062, -2.063, -0.2394, 0.1598, -0.1565, -0.85, 0.4617, 0.3725, 0.8753, 0.294, -0.3154, -0.3888, 0.7951, 0.4374, -1.3605, 0.22, -0.3682, -0.8233, 1.0697, 1.3818, -0.7176, 0.8463, -0.6668, 0.6733, 0.5188, 1.4211, 0.4278, 0.1476, 0.5338, -0.4276, -0.1203, -1.0062, 1.2576, 1.6346, 1.2656, 0.0109, 0.1784, -1.1025, -0.4677, 0.7313, -0.8842, 0.1366, 0.9478, 0.1327, 0.1946, 0.6618, -0.8732, -0.9179, -0.0275, 0.4441, 0.5032]"
SIG-0042,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 42: detected in wire channel with medium confidence.,critical,2185,2025-12-15,2024-05-31,"[-0.25, -0.805, -1.4132, 0.3829, -0.7391, -0.5502, -0.329, -1.0527, 0.3261, 0.005, -0.3999, 0.295, 2.2583, -0.5555, 0.8886, -1.1606, -0.2848, -0.362, -0.0953, -0.7564, 1.8448, -0.931, 0.6594, 1.8913, -0.5297, -1.0851, 0.0923, 0.0428, -0.8137, -1.0101, 0.4971, 1.1526, 0.0644, 1.0905, 0.8432, 1.5244, 2.5767, -0.354, 1.2635, -1.0849, 0.1803, 1.1099, -0.3403, 0.0134, -1.6856, 0.6036, 1.1222, 1.7944, -1.4964, -0.3403, 0.2051, 0.7131, -0.4198, -0.7059, -1.1488, -0.4709, 0.2449, -1.4263, -0.1353, -1.4977, -0.7196, -0.8814, 1.2723, 0.1191]"
SIG-0043,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 43: detected in p2p channel with high confidence.,medium,1330,2025-12-22,2024-05-15,"[-0.4541, 0.9861, -0.7222, 0.9836, 1.0771, -0.3968, 0.1373, 0.4349, -1.6246, -0.1425, 1.0848, -0.2071, 0.0779, 0.4364, -0.188, 0.5592, -1.4464, 0.699, 1.9797, -0.6461, -0.3597, -1.5942, -0.7214, 0.3737, -0.5419, -0.9084, 0.2189, 2.134, -0.7913, 0.2415, 0.7343, -0.8476, -0.1362, 0.2325, 1.2996, -1.1113, 0.2841, 1.0533, 0.8831, 0.4769, 0.8135, 0.417, -1.0787, -0.1451, 1.3172, 0.0299, -1.1114, -0.2807, -0.9177, -0.1334, 0.6964, 2.1333, 0.3266, 0.0102, 1.1205, -0.1998, -2.127, 0.4282, -0.3597, 0.5316, -0.4847, -2.6019, 0.4468, 0.5833]"
SIG-0044,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 44: detected in p2p channel with medium confidence.,high,2027,2025-12-05,2024-07-10,"[-0.6809, -1.502, 0.0296, 0.932, -0.1586, 0.1301, 1.2523, -0.3966, -0.5126, -0.7656, -1.7802, -0.5103, -1.9962, -0.2249, 0.1969, -0.3914, -0.2349, -0.3564, 0.9483, -1.5475, -0.639, -0.351, 0.4447, -1.1808, -0.1224, 0.1982, -1.5931, 1.31, -0.1063, -1.9231, -0.5585, 0.9835, 0.8872, -1.3096, -1.2074, -0.6434, -0.2549, -0.1319, -0.1656, -0.4296, 0.0505, 0.5733, 0.2668, 0.6369, 1.175, 0.2419, 1.4211, -1.527, 0.7285, -1.2427, -1.5563, 0.6084, 1.8256, 0.1419, -0.3088, -1.3023, -0.767, -0.1847, -1.3208, -0.232, 1.7307, 0.0131, 2.9734, 1.0971]"
SIG-0045,velocity_burst,Rapid succession of card transactions within minutes suggesting automated fraud bot. Variant 45: detected in p2p channel with high confidence.,medium,4154,2026-02-26,2025-03-25,"[0.1008, -0.5981, -0.4844, 0.5641, -0.8858, -0.077, 1.082, 0.8679, -0.5126, 0.6778, -0.5474, 1.3395, -0.4584, 2.1409, 0.1197, -0.1644, 1.1482, -0.4658, 0.3703, 0.6175, 2.1297, 0.1042, 0.9497, -0.1975, -0.6557, 0.5251, 1.0949, -0.0181, 0.2459, -0.1815, 1.4012, -1.0087, -0.9615, 3.2286, 2.0564, 0.2109, 2.5945, -1.722, 0.3767, -0.0188, -1.1876, -0.9574, 0.2826, -0.1616, -0.4263, 1.3342, 0.3182, -0.6196, 2.359, -0.7519, 1.3317, -0.6391, 0.7329, 0.8306, -0.1597, -0.4468, -0.538, -0.5647, -0.0294, 1.2323, -1.5211, 0.0747, 0.9692, 0.0747]"
SIG-0046,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 46: detected in retail channel with medium confidence.,medium,655,2025-12-19,2025-04-14,"[-0.3202, 0.3061, 0.6675, 0.5418, 0.9975, -0.3911, 0.2293, 0.584, 0.0153, -0.4132, 2.1498, 1.5741, 0.3504, 1.5686, -0.8746, -0.5797, 0.9215, -1.1025, 0.4624, 0.7345, 0.9003, -0.6031, 0.7973, -0.4552, -1.2168, -1.0849, 0.5842, 0.6855, 0.1222, 0.6852, 1.5106, -2.2037, 0.3099, -0.7766, 0.3663, -0.9579, -0.9867, -0.6518, 1.8059, 1.2596, 0.521, 0.5803, -0.323, -1.2683, -0.6178, 0.7105, 1.7156, -0.2315, -0.4637, -0.0188, 0.4423, -0.1864, 1.509, 0.6919, -1.1708, 1.0982, 0.7182, 0.3445, 2.8339, 1.9132, 1.3333, 2.5246, 0.9837, 0.0899]"
SIG-0047,round_amount_pattern,Multiple transactions at exact round dollar amounts suggesting test transactions. Variant 47: detected in retail channel with high confidence.,medium,4945,2025-12-20,2025-05-19,"[0.0255, -1.8461, 1.3033, -0.5532, 0.0826, 1.3751, 0.0392, 0.3003, -1.4131, 1.2886, 0.312, 0.5608, 0.0754, -1.1764, -0.0365, -0.7934, 0.4357, 1.1713, 0.1456, 1.4553, 0.1509, 1.8478, 0.7492, -0.7123, 1.7238, 0.1863, -0.323, 1.2089, -0.0893, 2.2575, -0.187, -0.9856, -1.34, -0.385, 0.5221, 0.7483, 0.6478, -0.9531, 0.2887, -0.0591, 1.5614, -0.786, -1.172, -0.2911, -1.5805, -1.2922, 1.0215, 1.3416, -1.5036, 0.176, 0.3753, -0.3965, 0.3858, -1.4755, -0.3609, 1.3174, -1.399, -0.0318, -1.6521, -0.7751, -1.0675, 1.8733, -0.3621, 0.0163]"
SIG-0048,late_night_wire,High-value wire transfers initiated during unusual hours for the account holder timezone. Variant 48: detected in retail channel with medium confidence.,high,2868,2025-12-19,2024-10-13,"[-0.4652, 0.1859, -1.3263, -0.7557, -0.1215, -0.9584, -1.5089, -0.1295, -0.4132, -1.54, 0.3147, 0.9995, 0.2216, -0.4501, -0.191, -0.2279, -1.2379, -0.507, 1.1854, 0.6518, -0.4227, -0.3349, 1.5914, -0.8104, 1.4891, 1.4876, -0.5905, 1.029, -0.991, 0.0499, -2.1665, 0.0528, 0.1395, 1.8923, -0.2478, -0.8037, 0.6704, -0.0163, 0.7028, 1.1865, 0.5379, 0.1892, -1.6976, -1.9068, 1.5097, 0.7023, -1.0245, -0.1053, -2.4307, -0.189, 0.3207, -2.5217, -0.005, -1.7998, -0.6064, 1.2012, -0.2085, 0.9347, -0.6018, -0.9595, 1.9616, -0.3087, -0.7363, -0.7005]"
SIG-0049,dormant_account_spike,Long-dormant account suddenly showing high transaction volume. Variant 49: detected in wire channel with medium confidence.,high,2753,2026-01-26,2024-11-06,"[-1.1676, 2.3111, 1.4598, 1.083, 1.0122, 0.2199, 1.4251, 0.4067, 0.158, 1.1408, 1.2745, 2.344, 0.0658, -1.2503, 0.0728, -0.0971, -0.9674, -1.328, -1.173, -1.2647, -1.4832, 0.0054, -0.2754, -0.0328, 1.6389, -0.3873, 0.0776, 0.3872, -0.7426, 1.8312, 0.7931, -2.4358, -0.7858, 1.6058, 1.6249, -0.7411, -0.8789, 0.1065, 0.7006, 1.2672, 0.9735, -1.4986, -0.2067, 2.1732, -1.1317, 0.7676, -0.4761, 0.1679, 0.4398, -2.4587, -1.678, 1.0882, 0.0867, -0.657, -2.2062, -2.5098, -0.726, -0.4627, 1.0757, 1.2485, -0.0604, 0.2657, 0.0024, -0.547]"
SIG-0050,late_night_wire,High-value wire transfers initiated during unusual hours for the account holder timezone. Variant 50: detected in wire channel with medium confidence.,high,1024,2025-12-28,2024-12-14,"[-1.7095, -0.5586, 0.9339, 0.7927, 0.8307, -0.5961, -0.2807, 1.4063, -0.3901, -0.7559, -0.8649, 1.5453, 0.2664, 1.9943, -1.5417, 0.6805, -0.6185, -0.5062, -1.5015, 0.2801, -0.8638, -0.3086, 1.3347, 0.6177, 0.6803, 0.0896, -2.086, -1.8116, -1.3799, 0.2063, 0.2098, 1.198, -1.1937, -0.3632, -1.7086, 1.1505, -0.228, 0.4046, 1.3316, 0.2048, -0.2254, -0.1961, -0.5361, 0.8521, 2.8362, 0.6967, 0.7266, 0.6344, 0.1019, -0.077, -0.2539, 0.1574, 0.3104, 2.3317, 0.2226, 0.1007, -0.745, 0.4576, 0.6355, -0.1641, 1.7199, 0.7877, 0.5507, -0.3871]"
SIG-0051,velocity_burst,Rapid succession of card transactions within minutes suggesting automated fraud bot. Variant 51: detected in retail channel with high confidence.,medium,1639,2025-12-26,2025-10-02,"[1.2037, -1.8189, -0.8926, -1.1191, 0.6165, -1.2487, 0.4179, 0.2143, 0.3393, -0.7994, 1.289, 0.794, -1.5443, 0.1747, -0.0645, -0.6266, 0.4124, 0.9503, -1.7289, 1.6613, -1.2245, 0.6902, -1.0598, 0.9013, -0.7234, 0.7474, 0.4918, 0.8281, 1.4645, -0.872, 0.2505, 0.3601, -0.5788, 0.919, -0.9861, 1.5772, 0.9769, -1.9156, 0.9366, -0.0427, 0.7861, -0.8115, 0.9992, 0.2894, 0.9273, 0.8265, 0.0692, 1.0091, -1.0949, 1.1047, 1.4078, -0.4335, 1.9828, 1.4102, 0.4069, 0.9214, 0.2825, 0.9289, -0.1163, -0.3534, -0.4322, -0.3685, -0.1145, -0.2251]"
SIG-0052,late_night_wire,High-value wire transfers initiated during unusual hours for the account holder timezone. Variant 52: detected in international channel with medium confidence.,medium,3096,2026-01-14,2025-02-04,"[0.2692, 0.7092, 0.5931, 0.2926, -0.2377, -0.7753, 0.4124, -0.958, 0.2304, 0.999, -1.1861, -0.6584, -0.5385, 1.9786, 1.0609, -0.4598, -0.1547, -0.2396, -1.2667, 1.1703, -1.0615, -0.2761, 0.7949, -1.0328, -1.3876, 1.8815, 0.9549, 0.5294, -0.4804, -0.2227, -0.2498, -0.7122, -1.1139, -0.2122, 0.8683, -0.1135, -0.1656, 0.5737, 0.0431, 0.3457, -0.65, 1.2475, -1.5844, 0.1907, 0.3515, -0.9763, 0.6576, -1.3577, 0.2352, 1.1408, -1.5124, 0.7503, -1.3663, 0.3122, 0.3821, -0.0577, 0.1402, 0.1403, 0.108, -0.1645, -1.6802, 1.4519, 1.5711, 0.721]"
SIG-0053,device_switching,Rapid switching between multiple devices and browsers suggesting credential sharing. Variant 53: detected in atm channel with medium confidence.,high,3471,2026-01-09,2025-04-28,"[-0.283, -0.2787, -0.3093, 0.4349, 1.14, 1.2775, 0.1184, 0.9415, -1.5504, -1.6608, 0.7014, -1.3841, -1.0487, -0.2664, 1.9418, -0.1577, -1.3931, -0.0999, -0.3018, -0.1743, 1.441, -0.4505, 0.9433, -0.6682, 0.7043, -0.573, 0.04, -0.5618, 0.7346, -1.4881, 0.7969, 1.1454, -0.7904, 0.1565, -1.0102, -0.0299, -0.5099, -0.7685, -0.6403, -0.0667, -0.3925, 1.228, 0.4066, -2.5815, -0.6812, 0.6019, -0.3398, -2.3719, -0.3026, 0.9562, 2.2971, -0.0994, 0.3048, 0.3466, -0.6447, -0.6322, -1.7098, -0.3358, 0.4331, 1.397, 0.3921, 3.0565, 0.8492, 0.5163]"
SIG-0054,late_night_wire,High-value wire transfers initiated during unusual hours for the account holder timezone. Variant 54: detected in wire channel with medium confidence.,high,2091,2025-12-07,2024-12-23,"[-0.2796, -0.3089, 0.3624, 0.7795, 0.4966, 0.0084, 0.381, -0.0385, -1.4181, 0.6274, -1.0955, -0.5054, 0.1986, 1.9412, -0.4058, 0.2069, -0.4792, -0.8675, -1.125, -0.4562, 0.5275, -1.4252, 0.0942, 1.3664, 0.1703, 0.28, -0.3775, -0.5224, -1.1497, -0.0211, -1.2772, -0.2365, 0.8878, 0.9112, 0.3902, 0.0391, 0.1681, 0.6293, 0.4593, -0.9129, -0.0774, 0.8687, 0.7122, -1.36, -0.1969, 1.3308, -0.0733, 0.4018, -2.3757, -1.4117, 0.0162, 0.238, 0.0696, 1.0878, -0.5834, -1.8687, -1.1269, 0.0229, 1.3925, -0.4108, 1.0781, 0.9035, 0.2327, -1.029]"
SIG-0055,velocity_burst,Rapid succession of card transactions within minutes suggesting automated fraud bot. Variant 55: detected in p2p channel with medium confidence.,medium,2353,2025-12-19,2025-11-20,"[1.3528, 0.6108, -0.0514, -0.9965, -0.2561, -1.949, 1.2093, -0.0874, 0.3905, 1.1001, 1.2842, 1.4966, -0.6467, 1.2734, 1.03, 2.0533, -1.3702, -0.4499, -0.4729, 1.1679, 2.1852, 0.3263, -0.995, -0.8867, -0.854, 1.0581, -0.8378, -0.0643, 1.0207, 0.0865, -0.5374, -0.139, 0.6553, -1.3413, 0.6833, -0.5622, -0.1662, -1.139, 0.871, 0.3159, -0.2149, -0.4576, 1.6211, 0.6749, -0.3551, 0.5075, -0.6498, 0.9669, -0.5591, -0.7247, -0.497, -1.6906, -0.3715, 0.1585, 0.5633, 0.474, -1.0907, -0.2904, -0.5385, -0.1661, -0.3134, 0.6376, 1.361, -1.3357]"
SIG-0056,ip_hopping,Login attempts from multiple IP addresses across different countries in short timeframe. Variant 56: detected in international channel with high confidence.,high,878,2025-12-29,2024-05-18,"[-0.9907, -0.0405, -0.6452, -0.5807, -1.215, 0.676, 0.6356, 1.3177, 0.2297, -1.6702, -0.8916, -0.6456, -1.2469, 0.0095, 1.2227, -1.0755, 0.0759, 1.5695, 1.417, -1.9312, -4.1888, -0.0831, 0.9139, -0.5129, 1.5497, -1.2505, 0.1726, 0.7053, 1.3124, -0.9783, 0.1547, 0.0954, 1.3971, -0.2455, 0.3761, 0.8731, 1.0623, -1.0606, -1.0789, -0.741, -0.849, 0.0906, 0.0591, 0.5534, 0.2263, -1.3853, -0.9536, -0.4468, -1.4658, 1.1528, -0.802, -0.6381, 1.0951, -0.3366, 0.173, -0.5808, -1.6092, -0.9899, -1.09, 0.2939, 1.7046, 0.1731, 1.7639, 1.7647]"
SIG-0057,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 57: detected in wire channel with high confidence.,medium,2058,2026-02-20,2025-08-08,"[-0.9891, -0.2168, 1.1676, -0.4093, -0.1883, 1.1808, 0.3035, -0.7329, -0.5376, -0.5048, 1.37, -0.9716, 1.9825, 0.9993, 1.3995, 1.8627, 0.9079, -0.9606, 0.1146, -0.7562, -0.7653, -0.5455, 1.8021, -0.4564, 1.5648, -1.0938, -1.9469, 0.037, -0.6243, 0.4931, -0.0251, 0.5325, 0.0128, -0.6766, -0.9128, 1.1931, -0.8983, -0.7741, -0.3554, -0.6114, 2.1563, 0.8762, 0.6293, 0.2587, 0.5769, 0.8039, -0.3621, 0.8943, -0.4906, 2.2356, 1.2252, -0.4757, -0.1047, 1.0347, 0.0727, 0.6381, -1.1273, -0.4861, 0.2531, -0.1395, -1.5694, 0.7685, 0.4714, 1.2352]"
SIG-0058,bot_typing_pattern,Abnormally consistent typing cadence suggesting automated input rather than human. Variant 58: detected in wire channel with medium confidence.,medium,4120,2026-02-21,2025-10-17,"[-1.6031, 0.1884, -1.5496, 1.0622, -0.2098, -0.4979, 0.5286, 0.1124, -0.4953, -1.1581, 0.6121, -1.0847, -1.2745, 1.1035, -2.8204, -0.8801, 0.8148, -0.2459, -0.5948, -1.5621, -1.279, 0.1451, 0.7845, 1.6149, 0.0042, -0.6181, -0.0169, 1.5992, 0.1217, -0.2656, -0.8019, -0.5721, 0.4373, 0.2023, -1.7139, 1.9222, 0.4273, 0.1271, 0.0197, -1.4562, -1.375, 1.0929, -0.5601, -1.8714, 1.7828, -2.707, -0.3383, 1.6554, -1.2765, 0.7967, 0.7731, 1.0462, -0.5391, 1.0316, -1.1993, 2.8116, 1.1822, -0.9735, -0.1699, -0.6584, -0.7986, -0.0559, -1.1137, 0.2803]"
SIG-0059,synthetic_identity,New account with thin credit file initiating high-value international transfers. Variant 59: detected in p2p channel with medium confidence.,medium,4073,2026-02-02,2025-09-29,"[-0.4249, 1.3385, 0.6482, -1.8831, 0.3984, 0.9037, 0.7639, 0.2369, -1.5705, -1.1328, -1.1627, -0.7892, 0.3654, -0.3262, -0.6842, -0.4706, 0.5827, -0.6603, 0.0902, 0.3675, -0.9056, 0.4654, 1.6381, 0.1863, 1.4622, 0.0868, -0.0608, -1.4194, 0.7879, 0.1305, 0.0735, -0.6107, 1.1567, 1.5277, -0.6051, 0.9917, 0.1098, -0.1093, 1.2444, 1.1403, 0.2733, -0.161, 0.4157, 0.2089, -0.1587, 1.1467, 1.6942, -1.189, -0.7072, -0.6733, -1.4038, 1.4083, 1.1668, 0.9053, -0.6678, 0.246, 1.3649, 1.4813, -0.0675, 1.7498, -0.1381, -1.0859, 1.5481, -1.4178]"
SIG-0060,mfa_change_high_value,"MFA settings changed shortly before high-value wire transfer initiated, typical account takeover pattern. Variant 60: detected in atm channel with high confidence.",medium,883,2025-12-28,2024-11-11,"[-0.1672, -2.1337, -0.4141, -0.6591, 0.4317, 0.2497, -0.6543, 1.1339, 1.7198, 0.6008, -0.8563, 0.5196, -2.2148, 0.2615, 0.2376, 0.407, 1.8094, -0.3447, -0.0923, -0.8282, 0.4004, 0.7261, -1.1088, 1.5587, 2.0398, -1.2225, 1.0585, -1.3865, -0.6135, -1.0009, 0.2839, 0.6895, 0.8259, 0.0398, 0.2563, 0.1584, 0.5922, 1.1904, 0.3877, -0.961, -0.3253, 1.8101, -0.103, -0.481, 0.713, -0.2254, -1.8404, -0.1941, -1.8477, 1.3953, 0.0064, -0.1342, 0.7193, -0.4169, -0.1393, 0.0682, -0.4272, -2.1974, 0.592, -1.3194, -0.3945, -0.7017, -1.1558, -0.0202]"
